   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, selection_cmp, selection_swaps, selection_time
 278,         19464,           19191,             53,      7784,         521,         34,    10115,       4492,        43,         38781,             273,            126
 279,         19523,           19249,             53,      7821,         540,         69,    10111,       4490,        45,         39060,             271,            126
 280,         19673,           19398,             53,      8164,         552,         46,    10174,       4516,        61,         39340,             274,            116
 281,         19787,           19511,             49,      7834,         575,         36,    10168,       4520,        42,         39621,             275,            116
 282,         20023,           19746,             52,      8238,         558,         36,    10228,       4540,        42,         39903,             276,             96
 283,         20118,           19840,             33,      8025,         555,         26,    10222,       4528,        33,         40186,             276,             75
 284,         20314,           20035,             33,      8231,         560,         26,    10353,       4599,        32,         40470,             277,             75
 285,         20320,           20040,             33,      8794,         550,         25,    10400,       4627,        32,         40755,             278,             76
 286,         20573,           20292,             34,      8664,         574,         26,    10411,       4625,        32,         41041,             278,             78
 287,         20582,           20300,             34,      8738,         548,         25,    10411,       4627,        32,         41328,             284,             77
 288,         20603,           20320,             33,      8235,         557,         25,    10546,       4703,        31,         41616,             282,             83
 289,         20724,           20440,             50,      8051,         579,         37,    10605,       4725,        43,         41905,             284,            113
 290,         20929,           20644,             47,      8627,         577,         36,    10612,       4713,        42,         42195,             282,            121
 291,         21152,           20866,             51,      8855,         565,         34,    10631,       4711,        41,         42486,             286,            119
 292,         21410,           21123,             58,      8822,         569,         37,    10740,       4768,        44,         42778,             287,            129
 293,         21682,           21394,             58,      8323,         587,         38,    10762,       4782,        46,         43071,             286,            134
 294,         21843,           21554,             59,      8002,         588,         39,    10768,       4775,        47,         43365,             290,            142
 295,         21889,           21599,             63,      8627,         580,         37,    10824,       4805,        47,         43660,             291,            138
 296,         22050,           21759,             62,      8310,         609,         38,    10902,       4861,        48,         43956,             287,            144
 297,         22113,           21821,             58,      8393,         590,         39,    10892,       4850,        47,         44253,             287,            135
 298,         22281,           21988,             51,      8261,         589,         32,    10964,       4865,        41,         44551,             294,            117
 299,         22519,           22225,             44,      8141,         600,         34,    11035,       4917,        41,         44850,             291,            119
 300,         22660,           22365,             49,      8235,         618,         35,    11084,       4932,        42,         45150,             299,            121
 301,         22837,           22541,             55,      9075,         610,         38,    11146,       4967,        47,         45451,             297,            124
 302,         23000,           22703,             54,      8485,         608,         36,    11184,       4980,        44,         45753,             297,            137
 303,         23234,           22936,             62,      8726,         610,         40,    11230,       4993,        46,         46056,             298,            146
 304,         23500,           23201,             65,      8689,         612,         40,    11292,       5033,        49,         46360,             295,            138
 305,         23716,           23416,             62,      8642,         596,         34,    11270,       5013,        39,         46665,             300,            118
 306,         23835,           23534,             56,      8699,         619,         39,    11407,       5076,        45,         46971,             302,            138
 307,         23868,           23566,             53,      9093,         605,         38,    11416,       5082,        45,         47278,             304,            132
 308,         23956,           23653,             60,      8714,         615,         39,    11473,       5089,        45,         47586,             299,            120
 309,         24159,           23855,             56,      9123,         614,         36,    11469,       5090,        49,         47895,             303,            135
 310,         24283,           23978,             59,      8803,         641,         37,    11521,       5116,        49,         48205,             308,            150
 311,         24463,           24157,             65,      8721,         634,         40,    11596,       5165,        48,         48516,             305,            154
 312,         24640,           24333,             58,      8646,         621,         37,    11635,       5177,        47,         48828,             307,            150
 313,         24713,           24405,             65,      9143,         626,         40,    11672,       5193,        50,         49141,             311,            149
 314,         24913,           24604,             60,      9240,         626,         41,    11780,       5246,        50,         49455,             310,            123
 315,         25215,           24905,             54,      9028,         641,         37,    11809,       5253,        43,         49770,             307,            143
 316,         25412,           25101,             60,      9147,         634,         41,    11814,       5253,        51,         50086,             309,            139
 317,         25450,           25138,             52,      9774,         630,         40,    11904,       5299,        51,         50403,             310,            150
 318,         25563,           25250,             66,      9007,         653,         40,    11902,       5301,        48,         50721,             314,            146
 319,         25664,           25350,             65,      9081,         639,         39,    11971,       5335,        50,         51040,             314,            145
 320,         25723,           25408,             61,     10395,         611,         41,    12044,       5344,        51,         51360,             310,            166
 321,         25726,           25410,             66,      9540,         668,         43,    12090,       5371,        51,         51681,             310,            150
 322,         25838,           25521,             64,      9410,         667,         42,    12089,       5368,        50,         52003,             315,            148
 323,         26112,           25794,             67,      9176,         672,         40,    12110,       5361,        51,         52326,             316,            149
 324,         26117,           25798,             67,     10223,         643,         43,    12182,       5409,        50,         52650,             318,            152
 325,         26323,           26003,             64,      8854,         663,         41,    12217,       5431,        51,         52975,             319,            152
 326,         26505,           26184,             69,      9199,         675,         42,    12214,       5417,        51,         53301,             322,            189
 327,         26575,           26253,             67,      9411,         646,         41,    12303,       5465,        52,         53628,             325,           1565
 328,         26701,           26378,             65,      9179,         679,         44,    12335,       5491,        51,         53956,             320,            142
 329,         26782,           26458,             56,      9773,         661,         41,    12413,       5509,        49,         54285,             322,            146
 330,         26802,           26477,             63,      9635,         676,         39,    12404,       5503,        49,         54615,             323,            256
 331,         27120,           26794,             54,      9819,         665,         39,    12467,       5532,        49,         54946,             328,            147
 332,         27125,           26798,             68,     11809,         647,         44,    12515,       5557,        51,         55278,             328,            213
 333,         27374,           27046,             70,      9513,         665,         42,    12563,       5598,        53,         55611,             328,            150
 334,         27404,           27075,             68,     10246,         675,         42,    12593,       5609,        52,         55945,             331,            158
 335,         27492,           27162,             67,      9741,         680,         43,    12699,       5665,        54,         56280,             328,            156
 336,         27510,           27179,             70,      9972,         684,         45,    12772,       5690,        55,         56616,             331,            164
 337,         27759,           27427,             71,      9687,         694,         46,    12799,       5699,        56,         56953,             327,            183
 338,         27898,           27565,             69,      9805,         707,         44,    12790,       5675,        51,         57291,             331,            148
 339,         27964,           27630,             69,     10509,         681,         44,    12853,       5711,        54,         57630,             336,            162
 340,         28161,           27826,             73,      9927,         677,         46,    12929,       5745,        56,         57970,             330,            179
 341,         28339,           28003,             76,     10095,         708,         45,    12966,       5769,        56,         58311,             337,            180
 342,         28539,           28202,             75,      9646,         691,         37,    13010,       5799,        49,         58653,             336,            156
 343,         28844,           28506,             63,     10103,         706,         41,    13073,       5819,        52,         58996,             332,            166
 344,         28864,           28525,             73,     10752,         702,         42,    13113,       5837,        47,         59340,             337,            182
 345,         28870,           28530,             82,     11113,         690,         45,    13152,       5855,        56,         59685,             336,            160
 346,         29148,           28807,             67,     11167,         717,         44,    13187,       5875,        53,         60031,             340,            171
 347,         29470,           29128,             71,     11267,         681,         42,    13222,       5905,        53,         60378,             340,            162
 348,         29595,           29252,             68,      9801,         726,         43,    13277,       5914,        51,         60726,             344,            173
 349,         29832,           29488,             81,      9772,         711,         46,    13365,       5967,        57,         61075,             341,            172
 350,         30163,           29818,             72,     10479,         727,         44,    13366,       5953,        49,         61425,             341,            158
 351,         30196,           29850,             74,     10892,         695,         45,    13392,       5983,        56,         61776,             343,            172
 352,         30502,           30155,             75,     10422,         718,         45,    13441,       5987,        54,         62128,             345,            183
 353,         30661,           30313,             82,     10279,         736,         46,    13525,       6030,        56,         62481,             344,            197
 354,         30999,           30650,             63,     10636,         713,         40,    13563,       6052,        51,         62835,             347,            167
 355,         31235,           30885,             70,     10053,         714,         43,    13535,       6048,        54,         63190,             348,            184
 356,         31469,           31118,             64,     10468,         725,         47,    13673,       6111,        56,         63546,             349,            195
 357,         31496,           31144,             85,     11016,         728,         43,    13724,       6139,        53,         63903,             349,            175
 358,         31581,           31228,             76,     11140,         718,         46,    13802,       6169,        60,         64261,             354,            165
 359,         31903,           31549,             75,     10972,         747,         45,    13774,       6139,        56,         64620,             352,            178
 360,         31975,           31620,             70,     10440,         747,         43,    13850,       6185,        58,         64980,             353,            205
 361,         32202,           31846,             89,     10768,         734,         48,    13840,       6161,        61,         65341,             354,            176
 362,         32492,           32135,             49,     10689,         754,         32,    13957,       6226,        41,         65703,             356,            199
 363,         32704,           32346,             83,     11026,         745,         47,    13915,       6217,        57,         66066,             357,            168
 364,         33028,           32669,             81,     11087,         749,         48,    14040,       6278,        59,         66430,             358,            178
 365,         33065,           32705,             85,     11490,         744,         47,    14039,       6263,        57,         66795,             358,            194
 366,         33324,           32963,             82,     11003,         739,         46,    14086,       6280,        60,         67161,             362,            194
 367,         33516,           33154,             86,     10942,         764,         43,    14075,       6304,        53,         67528,             363,            176
 368,         33529,           33166,             75,     12197,         737,         45,    14178,       6344,        55,         67896,             365,            191
 369,         33717,           33353,             84,     10546,         763,         43,    14241,       6368,        58,         68265,             360,            207
 370,         33913,           33548,             91,     10887,         770,         49,    14336,       6397,        55,         68635,             363,            184
 371,         33997,           33631,             80,     10963,         763,         45,    14313,       6375,        58,         69006,             365,            183
 372,         34205,           33838,             80,     10987,         774,         45,    14371,       6420,        57,         69378,             364,            191
 373,         34466,           34098,             74,     10586,         775,         49,    14433,       6463,        60,         69751,             367,            208
 374,         34522,           34153,             91,     11157,         784,         48,    14448,       6456,        62,         70125,             369,            214
 375,         34531,           34161,             79,     12238,         766,         49,    14535,       6482,        60,         70500,             371,            205
 376,         34589,           34218,             90,     11203,         791,         50,    14503,       6478,        58,         70876,             370,            216
 377,         34803,           34431,             93,     10926,         794,         49,    14549,       6510,        58,         71253,             373,            210
 378,         35062,           34689,             88,     10984,         783,         49,    14660,       6551,        62,         71631,             367,            185
 379,         35257,           34883,             80,     11287,         802,         46,    14689,       6588,        56,         72010,             369,            199
 380,         35567,           35192,             89,     11504,         787,         45,    14750,       6604,        61,         72390,             374,            207
 381,         35938,           35562,             96,     12012,         796,         50,    14784,       6618,        67,         72771,             373,            197
 382,         36039,           35662,             84,     11194,         788,         49,    14788,       6605,        61,         73153,             376,            197
 383,         36421,           36043,             84,     12586,         795,         49,    14881,       6651,        57,         73536,             371,            196
 384,         36746,           36367,             83,     11556,         782,         42,    14894,       6671,        55,         73920,             379,            193
 385,         36972,           36592,             89,     11003,         817,         50,    14885,       6645,        87,         74305,             378,            227
